country,gdp.ppp,co2
Algeria,13725,135.5305451
Argentina,18255,180.2887322
Australia,46555,416.5667322
Azerbaijan,16068,31.75893067
Bangladesh,4107,90.42494432
Belarus,17781,56.64900299
Brazil,14360,441.7607738
Bulgaria,20583,42.68477062
Canada,44135,550.2941002
Chile,23092,95.80448698
China,16098,9428.712231
Colombia,13283,98.06005055
Croatia,23308,16.87129957
Czech Republic,33219,103.2474039
Ecuador,10416,37.06608105
Egypt,11881,224.2060966
Estonia,30308,25.66445259
Finland,41271,46.56788654
France,40689,311.760071
Germany,46719,725.6734713
Greece,25887,76.22323134
Hong Kong SAR,57081,99.50099125
Hungary,28358,47.68223035
Indonesia,11760,542.9707866
Islamic Republic of Iran,17384,656.3633401
Ireland,70032,39.12857184
Israel,33753,69.64124353
Italy,35233,336.3467983
Japan,39313,1148.426405
Kazakhstan,24489,248.1220912
Korea,36756,697.5840068
Lithuania,30957,12.14845864
Malaysia,27431,250.2940792
Mexico,18313,462.4778173
Morocco,7940,62.76779934
Netherlands,50119,202.6720839
New Zealand,35676,35.86869182
Norway,66095,35.45707417
Pakistan,5049,195.7068998
Peru,12644,52.3072906
Philippines,7943,133.7431022
Poland,28390,322.5362632
Portugal,28450,54.53572471
Romania,23508,71.98620633
Russia,26015,1550.774127
Saudi Arabia,49728,571.020081
Spain,35679,295.2098876
Sri Lanka,11909,20.59884656
Sweden,47097,44.82862942
Taiwan Province of China,47132,286.0314329
Thailand,17313,302.388083
Turkey,24850,389.8574707
United Kingdom,40627,394.1366173
United States,55650,5145.163187
Uzbekistan,6814,104.2717377
Vietnam,6676,224.5256042
