Country,GDP_PPP,CO2
Algeria,15439.916,135.5305451
Argentina,20537.06,180.2887322
Australia,52373.46,416.5667322
Austria,52137.428,61.20109343
Azerbaijan,18075.9,31.75893067
Bangladesh,4619.792,90.42494432
Belarus,20003.029,56.64900299
Belgium,48244.657,129.5907424
Brazil,16154.326,441.7607738
Bulgaria,23155.638,42.68477062
Canada,49651.176,550.2941002
Chile,25978.329,95.80448698
China,18109.81,9428.712231
Colombia,14943.476,98.06005055
Croatia,26221.429,16.87129957
Cyprus,39973.223,8.229805215
Czech Republic,37370.97,103.2474039
Denmark,52120.535,35.66194833
Ecuador,11718.053,37.06608105
Egypt,13366.474,224.2060966
Estonia,34095.758,25.66445259
Finland,46429.534,46.56788654
France,45775.149,311.760071
Germany,52558.69,725.6734713
Greece,29122.958,76.22323134
Hong Kong,64215.666,99.50099125
Hungary,31902.671,47.68223035
India,55917.319,2479.071902
Indonesia,7873.725,542.9707866
Iran,13229.544,656.3633401
Iraq,19556.552,151.3972
Ireland,17659.415,39.12857184
Israel,78784.831,69.64124353
Italy,37972.002,336.3467983
Japan,39636.989,1148.426405
Kazakhstan,44227.159,248.1220912
Kuwait,27549.812,98.17415811
Latvia,41350.588,7.812695569
Lithuania,67000.189,12.14845864
Malaysia,29901.286,250.2940792
Mexico,34825.792,462.4778173
Morocco,30859.873,62.76779934
Netherlands,20601.66,202.6720839
New Zealand,8932.578,35.86869182
Norway,56383.248,35.45707417
Oman,40135.412,71.39049407
Pakistan,74356.069,195.7068998
Peru,46583.969,52.3072906
Philippines,5679.751,133.7431022
Poland,14224.259,322.5362632
Portugal,8935.924,54.53572471
Qatar,31938.663,101.1578454
Romania,32006.425,71.98620633
Russian Federation,26446.737,1550.774127
Saudi Arabia,29266.855,571.020081
Singapore,55943.861,230.0121841
South Africa,100344.682,421.1306734
South Korea,13675.341,697.5840068
Spain,40138.821,295.2098876
Sri Lanka,13397.467,20.59884656
Sweden,52984.107,44.82862942
Switzerland,64649.063,36.63714648
Taiwan,53023.095,286.0314329
Thailand,19476.484,302.388083
Trinidad & Tobago,32253.751,20.7170744
Turkey,27956.092,389.8574707
Ukraine,9283.433,186.5436151
United Arab Emirates,69381.712,276.9801909
United Kingdom,45704.621,394.1366173
US,62605.592,5145.163187
Uzbekistan,7665.448,104.2717377
Vietnam,7510.526,224.5256042
